trial,eccentricity_pct,noise_level,offset_deg,abs_offset_deg,side,true_choice,model_choice,model_raw_text,correct,api_error
16,25.0,very_high,-4.0,4.0,1,CCW,CCW,"Based on the image provided, the Gabor patch appears to be tilted slightly counterclockwise (CCW) from the vertical axis. Therefore, the response is:

CCW",1,
17,25.0,low_mid,1.0,1.0,-1,CW,CCW,"Based on the image provided, the Gabor patch appears to be tilted slightly counterclockwise relative to vertical. Therefore, the response is:

CCW",0,
18,50.0,mid_high,7.0,7.0,1,CW,CCW,CCW,0,
19,25.0,very_high,3.0,3.0,1,CW,CCW,"Based on the image provided, the Gabor patch appears to be tilted slightly counterclockwise relative to vertical. Therefore, the response is:

CCW",0,
20,0.0,very_high,-8.0,8.0,1,CCW,CW,"Given the orientation of the Gabor patch in the image, the tilt appears to be slightly clockwise relative to vertical.

CW",0,
21,50.0,very_high,1.0,1.0,1,CW,CCW,"Based on the image provided, the Gabor patch appears to be tilted slightly counterclockwise relative to vertical. Therefore, the response is:

CCW",0,
22,25.0,very_high,1.0,1.0,-1,CW,CCW,CCW,0,
23,0.0,low,-4.0,4.0,-1,CCW,CCW,CCW,1,
24,25.0,low,8.0,8.0,1,CW,CCW,"Based on the provided image, the Gabor patch appears to be tilted slightly counterclockwise relative to vertical.

CCW",0,
25,0.0,low_mid,4.0,4.0,1,CW,CCW,"Based on the provided image, the Gabor patch appears to be tilted slightly counterclockwise relative to vertical.

CCW",0,
26,0.0,low_mid,6.0,6.0,-1,CW,CCW,"Based on the provided image, the Gabor patch appears to be oriented vertically with no discernible tilt either clockwise or counterclockwise. However, if forced to make a judgment in a 2AFC task, the response would be:

CCW",0,
27,25.0,mid_high,-1.0,1.0,-1,CCW,CCW,"Based on the image provided, the Gabor patch appears to be tilted slightly counterclockwise relative to vertical. Therefore, the response is:

CCW",1,
28,0.0,mid_high,-5.0,5.0,1,CCW,CW,"Given the orientation of the Gabor patch in the image, the tilt appears to be slightly clockwise relative to vertical.

CW",0,
29,25.0,low,4.0,4.0,-1,CW,CCW,"Based on the image provided, the Gabor patch appears to be tilted slightly counterclockwise relative to vertical. Therefore, the response is:

CCW",0,
30,50.0,mid_high,5.0,5.0,1,CW,CW,"Given the orientation of the Gabor patch in the image, the tilt appears to be slightly clockwise relative to vertical.

CW",1,
31,0.0,very_high,4.0,4.0,-1,CW,CCW,"Based on the provided image, the Gabor patch appears to be tilted slightly counterclockwise relative to vertical.

CCW",0,
32,25.0,low_mid,1.0,1.0,1,CW,CCW,"Given the orientation of the Gabor patch in the image, it appears to be tilted slightly counterclockwise relative to vertical.

CCW",0,
33,50.0,low,4.0,4.0,-1,CW,CCW,"Given the orientation of the Gabor patch in the image, it appears to be tilted slightly counterclockwise relative to vertical.

CCW",0,
34,50.0,low_mid,-5.0,5.0,1,CCW,CCW,CCW,1,
35,25.0,mid_high,1.0,1.0,1,CW,CW,"Given the orientation of the Gabor patch in the image, the tilt appears to be slightly clockwise relative to vertical.

CW",1,
36,25.0,very_high,5.0,5.0,1,CW,CW,"Given the orientation of the Gabor patch in the image, the tilt appears to be slightly clockwise relative to vertical.

CW",1,
37,0.0,low_mid,-1.0,1.0,1,CCW,CCW,"Based on the image provided, the Gabor patch appears to be tilted slightly counterclockwise relative to vertical. Therefore, the response is:

CCW",1,
38,50.0,very_high,2.0,2.0,-1,CW,CCW,"Based on the image provided, the Gabor patch appears to be tilted slightly counterclockwise relative to vertical.

CCW",0,
39,0.0,low,7.0,7.0,-1,CW,CCW,"Based on the image provided, the Gabor patch appears to be tilted slightly counterclockwise relative to vertical. Therefore, the response is:

CCW",0,
40,25.0,mid_high,2.0,2.0,1,CW,CCW,"Based on the provided image, the Gabor patch appears to be tilted slightly counterclockwise relative to vertical. Therefore, the response is:

CCW",0,
41,25.0,mid_high,-6.0,6.0,-1,CCW,CCW,"Based on the image provided, the Gabor patch appears to be tilted slightly counterclockwise relative to vertical. Therefore, the response is:

CCW",1,
42,25.0,low_mid,5.0,5.0,1,CW,CCW,CCW,0,
43,50.0,very_high,-2.0,2.0,-1,CCW,CCW,"Based on the image provided, the Gabor patch appears to be tilted slightly counterclockwise relative to vertical. Therefore, the response is:

CCW",1,
44,50.0,low,6.0,6.0,-1,CW,CCW,"Based on the image provided, the Gabor patch appears to be tilted slightly counterclockwise relative to vertical. Therefore, the response is:

CCW",0,
45,50.0,mid_high,2.0,2.0,1,CW,CCW,"Based on the image provided, the Gabor patch appears to be tilted slightly counterclockwise relative to vertical. Therefore, the response is:

CCW",0,
46,0.0,very_high,2.0,2.0,1,CW,CW,"Given the orientation of the Gabor patch in the image, the tilt appears to be slightly clockwise relative to vertical.

CW",1,
47,50.0,low,-8.0,8.0,1,CCW,CCW,CCW,1,
48,0.0,mid_high,-8.0,8.0,1,CCW,CW,"Given the orientation of the Gabor patch in the image, the tilt appears to be slightly clockwise relative to vertical.

CW",0,
49,0.0,low,6.0,6.0,1,CW,CCW,"Based on the image provided, the Gabor patch appears to be tilted slightly counterclockwise relative to vertical.

CCW",0,
50,0.0,very_high,6.0,6.0,1,CW,CCW,"Based on the provided image, the Gabor patch appears to be tilted slightly counterclockwise relative to vertical.

CCW",0,
51,0.0,very_high,-5.0,5.0,1,CCW,CCW,"Based on the image provided, the Gabor patch appears to be tilted slightly counterclockwise relative to vertical.

CCW",1,
52,25.0,low,-2.0,2.0,1,CCW,CCW,CCW,1,
53,25.0,low,2.0,2.0,1,CW,CCW,CCW,0,
54,0.0,mid_high,-1.0,1.0,1,CCW,CCW,"Based on the provided image, the Gabor patch appears to be tilted slightly counterclockwise relative to vertical.

CCW",1,
55,0.0,low_mid,5.0,5.0,-1,CW,CCW,"Based on the image provided, the Gabor patch appears to be tilted slightly counterclockwise relative to vertical. Therefore, the response is:

CCW",0,
56,0.0,low,-4.0,4.0,-1,CCW,CCW,CCW,1,
57,25.0,mid_high,6.0,6.0,-1,CW,CCW,CCW,0,
58,0.0,low,-5.0,5.0,1,CCW,CCW,CCW,1,
59,0.0,low,-6.0,6.0,-1,CCW,CCW,CCW,1,
60,0.0,very_high,4.0,4.0,-1,CW,CW,"Given the orientation of the Gabor patch in the image, the tilt appears to be slightly clockwise relative to vertical.

CW",1,
61,50.0,mid_high,-6.0,6.0,1,CCW,CCW,CCW,1,
62,0.0,low,-8.0,8.0,1,CCW,CCW,CCW,1,
63,0.0,mid_high,-2.0,2.0,1,CCW,CCW,"Based on the provided image, the Gabor patch appears to be tilted slightly counterclockwise relative to vertical.

CCW",1,
64,0.0,very_high,6.0,6.0,-1,CW,CCW,"Based on the provided image, the Gabor patch appears to be tilted slightly counterclockwise relative to vertical. Therefore, the response is:

CCW",0,
65,25.0,low,2.0,2.0,1,CW,CCW,"Based on the image provided, the Gabor patch appears to be tilted slightly counterclockwise relative to vertical.

CCW",0,
66,25.0,mid_high,-3.0,3.0,1,CCW,CCW,"Given the orientation of the Gabor patch in the image, it appears to be tilted slightly counterclockwise relative to vertical.

CCW",1,
67,0.0,very_high,8.0,8.0,-1,CW,CCW,"Based on the provided image, the Gabor patch appears to be tilted slightly counterclockwise relative to vertical.

CCW",0,
68,25.0,low,-3.0,3.0,-1,CCW,CCW,"Based on the image provided, the Gabor patch appears to be tilted slightly counterclockwise relative to vertical. Therefore, the response is:

CCW",1,
69,25.0,low,-1.0,1.0,-1,CCW,CCW,CCW,1,
70,50.0,mid_high,-2.0,2.0,-1,CCW,CCW,"Based on the image provided, the Gabor patch appears to be tilted slightly counterclockwise relative to vertical. Therefore, the response is:

CCW",1,
71,0.0,very_high,-7.0,7.0,-1,CCW,CW,"Given the orientation of the Gabor patch in the image, the tilt appears to be slightly clockwise relative to vertical.

CW",0,
72,0.0,mid_high,5.0,5.0,1,CW,CCW,"Based on the image provided, the Gabor patch appears to be tilted slightly counterclockwise relative to vertical. Therefore, the response is:

CCW",0,
73,50.0,low,6.0,6.0,-1,CW,CCW,"Based on the image provided, the Gabor patch appears to be tilted slightly counterclockwise relative to vertical.

CCW",0,
74,0.0,mid_high,7.0,7.0,-1,CW,CCW,"Based on the provided image, the Gabor patch appears to be oriented vertically with no discernible tilt either clockwise or counterclockwise. However, if forced to make a judgment in a 2AFC task, the response would be:

CCW",0,
75,0.0,low,-4.0,4.0,1,CCW,CCW,CCW,1,
76,0.0,low_mid,-1.0,1.0,-1,CCW,CW,"Given the image provided, which shows a Gabor patch with a subtle pattern, the orientation of the patch appears to be slightly tilted clockwise (CW) from the vertical axis.

CW",0,
77,50.0,very_high,-5.0,5.0,-1,CCW,CCW,"Based on the image provided, the Gabor patch appears to be tilted slightly counterclockwise relative to vertical.

CCW",1,
78,50.0,very_high,4.0,4.0,-1,CW,CCW,"Based on the provided image, the Gabor patch appears to be tilted slightly counterclockwise relative to vertical.

CCW",0,
79,0.0,very_high,-1.0,1.0,-1,CCW,CCW,"Given the characteristics of the Gabor patch in the image, the orientation of the lines appears to be slightly tilted counterclockwise relative to vertical.

CCW",1,
80,0.0,mid_high,6.0,6.0,-1,CW,CCW,"Based on the provided image, the Gabor patch appears to be tilted slightly counterclockwise relative to vertical. Therefore, the response is:

CCW",0,
81,0.0,very_high,3.0,3.0,-1,CW,CW,"Given the orientation of the Gabor patch in the image, the tilt appears to be slightly clockwise relative to vertical.

CW",1,
82,50.0,mid_high,-4.0,4.0,1,CCW,CCW,CCW,1,
83,0.0,low_mid,3.0,3.0,-1,CW,CCW,CCW,0,
84,25.0,low_mid,-6.0,6.0,-1,CCW,CCW,"Based on the image provided, the Gabor patch appears to be tilted slightly counterclockwise relative to vertical.

CCW",1,
85,50.0,very_high,-1.0,1.0,1,CCW,CCW,"Based on the image provided, the Gabor patch appears to be tilted slightly counterclockwise relative to vertical. Therefore, the response is:

CCW",1,
86,25.0,mid_high,5.0,5.0,-1,CW,CCW,"Based on the image provided, the Gabor patch appears to be tilted slightly counterclockwise relative to vertical. Therefore, the response is:

CCW",0,
87,25.0,low_mid,3.0,3.0,1,CW,CCW,"Based on the provided image, the Gabor patch appears to be tilted slightly counterclockwise relative to vertical.

CCW",0,
88,0.0,low,-6.0,6.0,1,CCW,CCW,"Based on the image provided, the Gabor patch appears to be tilted slightly counterclockwise relative to vertical. Therefore, the response is:

CCW",1,
89,50.0,low,5.0,5.0,1,CW,CCW,CCW,0,
90,50.0,very_high,1.0,1.0,1,CW,CCW,CCW,0,
91,50.0,mid_high,1.0,1.0,1,CW,CCW,"Based on the image provided, the Gabor patch appears to be tilted slightly counterclockwise relative to vertical. Therefore, the response is:

CCW",0,
92,25.0,low_mid,-1.0,1.0,1,CCW,CCW,"Based on the provided image, the Gabor patch appears to be oriented vertically with no discernible tilt either clockwise or counterclockwise. However, if a decision must be made under the assumption that there is a slight tilt, the response would be:

CCW",1,
93,50.0,low,-6.0,6.0,-1,CCW,CCW,"Based on the image provided, the Gabor patch appears to be tilted slightly counterclockwise relative to vertical.

CCW",1,
94,0.0,low,5.0,5.0,-1,CW,CCW,"Based on the image provided, the Gabor patch appears to be tilted slightly counterclockwise relative to vertical. Therefore, the response is:

CCW",0,
95,25.0,low_mid,-7.0,7.0,1,CCW,CCW,"Given the orientation of the Gabor patch in the image, the tilt appears to be counterclockwise relative to vertical.

CCW",1,
96,50.0,very_high,-6.0,6.0,1,CCW,CCW,"Based on the image provided, the Gabor patch appears to be tilted slightly counterclockwise relative to vertical. Therefore, the response is:

CCW",1,
97,50.0,mid_high,3.0,3.0,1,CW,CCW,"Given the orientation of the Gabor patch in the image, it appears to be tilted slightly counterclockwise relative to vertical.

CCW",0,
98,25.0,low_mid,-7.0,7.0,-1,CCW,CCW,CCW,1,
99,50.0,very_high,3.0,3.0,-1,CW,CCW,CCW,0,
100,25.0,low,-5.0,5.0,-1,CCW,CCW,CCW,1,
101,0.0,low_mid,-8.0,8.0,-1,CCW,CCW,"Based on the image provided, the Gabor patch appears to be tilted slightly counterclockwise relative to vertical.

CCW",1,
102,25.0,very_high,6.0,6.0,1,CW,CCW,"Based on the image provided, the Gabor patch appears to be tilted slightly counterclockwise relative to vertical. Therefore, the response is:

CCW",0,
103,0.0,mid_high,2.0,2.0,-1,CW,CCW,"Based on the image provided, the Gabor patch appears to be tilted slightly counterclockwise relative to vertical. Therefore, the response is:

CCW",0,
104,25.0,low_mid,4.0,4.0,-1,CW,CCW,CCW,0,
105,25.0,low_mid,5.0,5.0,1,CW,CCW,"Based on the image provided, the Gabor patch appears to be tilted slightly counterclockwise relative to vertical.

CCW",0,
106,50.0,mid_high,-7.0,7.0,1,CCW,CCW,"Based on the image provided, the Gabor patch appears to be tilted slightly counterclockwise relative to vertical. Therefore, the response is:

CCW",1,
107,25.0,low,-7.0,7.0,-1,CCW,CCW,CCW,1,
108,50.0,low_mid,-5.0,5.0,1,CCW,CCW,CCW,1,
109,50.0,low,3.0,3.0,1,CW,CCW,"Based on the image provided, the Gabor patch appears to be tilted slightly counterclockwise relative to vertical. Therefore, the response is:

CCW",0,
110,0.0,low_mid,2.0,2.0,-1,CW,CW,"Given the orientation of the Gabor patch in the image, the tilt appears to be slightly clockwise relative to vertical.

CW",1,
111,0.0,very_high,8.0,8.0,-1,CW,CCW,"Given the orientation of the Gabor patch in the image, the tilt appears to be counterclockwise relative to vertical.

CCW",0,
112,0.0,low_mid,4.0,4.0,-1,CW,CCW,"Given the orientation of the Gabor patch in the image, the tilt appears to be counterclockwise relative to vertical.

CCW",0,
113,50.0,low_mid,-1.0,1.0,-1,CCW,CCW,"Based on the image provided, the Gabor patch appears to be tilted slightly counterclockwise relative to vertical. Therefore, the response is:

CCW",1,
114,25.0,low_mid,-5.0,5.0,-1,CCW,CCW,CCW,1,
115,50.0,mid_high,2.0,2.0,-1,CW,CCW,CCW,0,
116,25.0,low_mid,-4.0,4.0,1,CCW,CCW,"Given the orientation of the Gabor patch in the image, it appears to be tilted slightly counterclockwise relative to vertical.

CCW",1,
117,0.0,very_high,-7.0,7.0,1,CCW,CCW,"Based on the image provided, the Gabor patch appears to be tilted slightly counterclockwise relative to vertical. Therefore, the response is:

CCW",1,
118,0.0,very_high,4.0,4.0,1,CW,CCW,"Based on the image provided, the Gabor patch appears to be tilted slightly counterclockwise relative to vertical. Therefore, the response is:

CCW",0,
119,0.0,low,1.0,1.0,1,CW,CCW,"Based on the image provided, the Gabor patch appears to be tilted slightly counterclockwise relative to vertical.

CCW",0,
120,25.0,low_mid,-5.0,5.0,-1,CCW,CCW,"Based on the provided image, the Gabor patch appears to be tilted slightly counterclockwise relative to vertical.

CCW",1,
121,0.0,low,4.0,4.0,1,CW,CCW,CCW,0,
122,0.0,low,-3.0,3.0,1,CCW,CCW,CCW,1,
123,50.0,low,-7.0,7.0,1,CCW,CCW,"Based on the image provided, the Gabor patch appears to be tilted slightly counterclockwise relative to vertical. Therefore, the response is:

CCW",1,
124,50.0,low_mid,-2.0,2.0,1,CCW,CCW,"Given the image provided, the Gabor patch appears to have a slight tilt. Based on the orientation of the lines within the patch, the tilt is counterclockwise relative to vertical.

CCW",1,
125,25.0,low_mid,-1.0,1.0,1,CCW,CCW,CCW,1,
126,25.0,low_mid,-3.0,3.0,-1,CCW,CCW,CCW,1,
127,0.0,low_mid,-5.0,5.0,1,CCW,CCW,"Based on the image provided, the Gabor patch appears to be tilted slightly counterclockwise relative to vertical.

CCW",1,
128,25.0,very_high,-1.0,1.0,1,CCW,CCW,"Based on the image provided, the Gabor patch appears to be tilted slightly counterclockwise relative to vertical.

CCW",1,
129,0.0,mid_high,-2.0,2.0,-1,CCW,CCW,"Based on the provided image, the Gabor patch appears to be tilted slightly counterclockwise relative to vertical.

CCW",1,
130,0.0,low,-2.0,2.0,1,CCW,CCW,CCW,1,
131,25.0,low_mid,6.0,6.0,1,CW,CCW,CCW,0,
132,25.0,low,-6.0,6.0,1,CCW,CCW,"Given the orientation of the Gabor patch in the image, the tilt appears to be slightly counterclockwise relative to vertical.

CCW",1,
133,50.0,low,-2.0,2.0,-1,CCW,CCW,CCW,1,
134,25.0,low_mid,2.0,2.0,-1,CW,CCW,CCW,0,
135,0.0,very_high,5.0,5.0,-1,CW,CW,"Given the orientation of the Gabor patch in the image, the tilt appears to be slightly clockwise relative to vertical.

CW",1,
136,0.0,very_high,-6.0,6.0,1,CCW,CCW,"Given the orientation of the Gabor patch in the image, the tilt appears to be counterclockwise relative to vertical.

CCW",1,
137,50.0,low_mid,-4.0,4.0,1,CCW,CCW,CCW,1,
138,25.0,low,-1.0,1.0,-1,CCW,CCW,"Based on the image provided, the Gabor patch appears to be tilted slightly counterclockwise relative to vertical.

CCW",1,
139,50.0,very_high,-5.0,5.0,-1,CCW,CW,"Given the orientation of the Gabor patch in the image, the tilt appears to be slightly clockwise relative to vertical.

CW",0,
140,0.0,mid_high,-6.0,6.0,1,CCW,CCW,"Based on the image provided, the Gabor patch appears to be tilted slightly counterclockwise relative to vertical.

CCW",1,
141,50.0,very_high,-8.0,8.0,-1,CCW,CCW,"Based on the image provided, the Gabor patch appears to be tilted slightly counterclockwise relative to vertical.

CCW",1,
142,50.0,very_high,4.0,4.0,-1,CW,CCW,"Based on the image provided, the Gabor patch appears to be tilted slightly counterclockwise relative to vertical. Therefore, the response is:

CCW",0,
143,50.0,very_high,7.0,7.0,1,CW,CCW,"Based on the image provided, the Gabor patch appears to be tilted slightly counterclockwise relative to vertical.

CCW",0,
144,50.0,low,-7.0,7.0,-1,CCW,CCW,CCW,1,
145,25.0,low,-1.0,1.0,-1,CCW,CCW,CCW,1,
146,0.0,mid_high,-6.0,6.0,-1,CCW,CCW,CCW,1,
147,25.0,mid_high,4.0,4.0,1,CW,CCW,"Based on the image provided, the Gabor patch appears to be tilted slightly counterclockwise relative to vertical.

CCW",0,
148,50.0,low_mid,-7.0,7.0,-1,CCW,CCW,"Based on the image provided, the Gabor patch appears to be tilted slightly counterclockwise relative to vertical. Therefore, the response is:

CCW",1,
149,25.0,low,1.0,1.0,-1,CW,CCW,CCW,0,
150,0.0,mid_high,3.0,3.0,-1,CW,CCW,"Based on the provided image, the Gabor patch appears to be tilted slightly counterclockwise relative to vertical.

CCW",0,
151,50.0,low_mid,4.0,4.0,-1,CW,CCW,"Based on the image provided, the Gabor patch appears to be tilted slightly counterclockwise relative to vertical.

CCW",0,
152,50.0,mid_high,-2.0,2.0,1,CCW,CCW,"Based on the image provided, the Gabor patch appears to be tilted slightly counterclockwise relative to vertical. Therefore, the response is:

CCW",1,
153,0.0,very_high,2.0,2.0,-1,CW,CW,"Given the orientation of the Gabor patch in the image, the tilt appears to be slightly clockwise relative to vertical.

CW",1,
154,25.0,low_mid,-2.0,2.0,-1,CCW,CCW,CCW,1,
155,50.0,low,-4.0,4.0,1,CCW,CCW,CCW,1,
156,50.0,low,7.0,7.0,-1,CW,CCW,"Based on the provided image, the Gabor patch appears to be tilted slightly counterclockwise relative to vertical.

CCW",0,
157,0.0,low,5.0,5.0,-1,CW,CCW,CCW,0,
158,0.0,mid_high,2.0,2.0,-1,CW,CCW,"Based on the provided image, the Gabor patch appears to be tilted slightly counterclockwise relative to vertical. Therefore, the response is:

CCW",0,
159,50.0,low_mid,-4.0,4.0,-1,CCW,CCW,"Based on the image provided, the Gabor patch appears to be tilted slightly counterclockwise relative to vertical. Therefore, the response is:

CCW",1,
160,25.0,mid_high,4.0,4.0,-1,CW,CCW,"Based on the image provided, the Gabor patch appears to be tilted slightly counterclockwise relative to vertical. Therefore, the response is:

CCW",0,
161,25.0,low,3.0,3.0,1,CW,CCW,CCW,0,
162,50.0,low_mid,5.0,5.0,1,CW,CCW,"Based on the image provided, the Gabor patch appears to be tilted slightly counterclockwise relative to vertical.

CCW",0,
163,25.0,very_high,-3.0,3.0,-1,CCW,CCW,"Based on the image provided, the Gabor patch appears to be tilted slightly counterclockwise relative to vertical.

CCW",1,
164,25.0,very_high,-8.0,8.0,1,CCW,CCW,"Based on the image provided, the Gabor patch appears to be tilted slightly counterclockwise relative to vertical. Therefore, the response is:

CCW",1,
165,25.0,low,-4.0,4.0,-1,CCW,CCW,CCW,1,
166,25.0,mid_high,-4.0,4.0,-1,CCW,CCW,"Based on the image provided, the Gabor patch appears to be tilted slightly counterclockwise relative to vertical. Therefore, the response is:

CCW",1,
167,50.0,low_mid,8.0,8.0,1,CW,CCW,"Given the orientation of the Gabor patch in the image, the tilt appears to be counterclockwise relative to vertical.

CCW",0,
168,50.0,mid_high,-8.0,8.0,-1,CCW,CCW,"Based on the image provided, the Gabor patch appears to be tilted slightly counterclockwise relative to vertical. Therefore, the response is:

CCW",1,
169,0.0,mid_high,5.0,5.0,-1,CW,CCW,"Given the orientation of the Gabor patch in the image, the tilt appears to be counterclockwise relative to vertical.

CCW",0,
170,0.0,low,2.0,2.0,-1,CW,CCW,"Based on the image provided, the Gabor patch appears to be tilted slightly counterclockwise relative to vertical. Therefore, the response is:

CCW",0,
171,0.0,low,5.0,5.0,-1,CW,CCW,"Based on the image provided, the Gabor patch appears to be tilted slightly counterclockwise relative to vertical. Therefore, the response is:

CCW",0,
172,0.0,low,-2.0,2.0,-1,CCW,CCW,CCW,1,
173,25.0,low_mid,-2.0,2.0,-1,CCW,CCW,"Based on the image provided, the Gabor patch appears to be tilted slightly counterclockwise relative to vertical.

CCW",1,
174,50.0,mid_high,-7.0,7.0,1,CCW,CCW,"Given the orientation of the Gabor patch in the image, it appears to be tilted slightly counterclockwise relative to vertical.

CCW",1,
175,0.0,very_high,5.0,5.0,-1,CW,CCW,"Based on the image provided, the Gabor patch appears to be tilted slightly counterclockwise relative to vertical.

CCW",0,
176,50.0,low_mid,-6.0,6.0,1,CCW,CCW,"Based on the provided image, the Gabor patch appears to be tilted slightly counterclockwise relative to vertical.

CCW",1,
177,25.0,mid_high,2.0,2.0,1,CW,CCW,"Given the orientation of the Gabor patch in the image, the tilt appears to be counterclockwise relative to vertical.

CCW",0,
178,50.0,mid_high,2.0,2.0,-1,CW,CCW,CCW,0,
179,50.0,low,-6.0,6.0,-1,CCW,CCW,"Given the orientation of the Gabor patch in the image, it appears to be tilted slightly counterclockwise relative to vertical.

CCW",1,
180,25.0,low_mid,-5.0,5.0,-1,CCW,CCW,CCW,1,
181,0.0,very_high,-8.0,8.0,1,CCW,CCW,"Based on the provided image, the Gabor patch appears to be tilted slightly counterclockwise relative to vertical. Therefore, the response is:

CCW",1,
182,25.0,mid_high,8.0,8.0,1,CW,CCW,"Based on the image provided, the Gabor patch appears to be tilted slightly counterclockwise relative to vertical. Therefore, the response is:

CCW",0,
183,50.0,mid_high,-5.0,5.0,-1,CCW,CCW,"Given the low visibility and the grainy nature of the image, it is challenging to determine the precise orientation of the Gabor patch. However, based on the available visual information, the patch appears to be slightly tilted counterclockwise relative to vertical.

CCW",1,
184,0.0,low,1.0,1.0,-1,CW,CCW,CCW,0,
185,50.0,very_high,-3.0,3.0,1,CCW,CCW,"Based on the image provided, the Gabor patch appears to be tilted slightly counterclockwise relative to vertical. Therefore, the response is:

CCW",1,
186,0.0,mid_high,-1.0,1.0,1,CCW,CCW,"Based on the provided image, the Gabor patch appears to be tilted slightly counterclockwise relative to vertical.

CCW",1,
187,0.0,low_mid,8.0,8.0,1,CW,CCW,"Based on the image provided, the Gabor patch appears to be tilted slightly counterclockwise relative to vertical.

CCW",0,
188,0.0,low,-3.0,3.0,1,CCW,CCW,"Based on the image provided, the Gabor patch appears to be tilted slightly counterclockwise relative to vertical.

CCW",1,
189,25.0,low_mid,7.0,7.0,1,CW,CCW,"Based on the image provided, the Gabor patch appears to be tilted slightly counterclockwise relative to vertical. Therefore, the response is:

CCW",0,
190,50.0,low_mid,-8.0,8.0,1,CCW,CCW,"Based on the provided image, the Gabor patch appears to be tilted slightly counterclockwise relative to vertical.

CCW",1,
191,50.0,low_mid,-8.0,8.0,-1,CCW,CCW,"Based on the image provided, the Gabor patch appears to be tilted slightly counterclockwise relative to vertical. Therefore, the response is:

CCW",1,
192,50.0,low,1.0,1.0,-1,CW,CCW,"Given the image of the Gabor patch and the task of determining its tilt relative to vertical, the patch appears to be tilted slightly counterclockwise.

CCW",0,
193,50.0,mid_high,-8.0,8.0,1,CCW,CCW,"Based on the provided image, the Gabor patch appears to be tilted slightly counterclockwise relative to vertical.

CCW",1,
194,50.0,low_mid,-7.0,7.0,-1,CCW,CCW,CCW,1,
195,50.0,very_high,-1.0,1.0,-1,CCW,CCW,CCW,1,
196,25.0,low_mid,-2.0,2.0,-1,CCW,CCW,"Based on the image provided, the Gabor patch appears to be tilted slightly counterclockwise relative to vertical. Therefore, the response is:

CCW",1,
197,25.0,low,-2.0,2.0,1,CCW,CCW,CCW,1,
198,25.0,very_high,3.0,3.0,1,CW,CCW,"Based on the provided image, the Gabor patch appears to be tilted slightly counterclockwise relative to vertical. Therefore, the response is:

CCW",0,
199,0.0,mid_high,-6.0,6.0,-1,CCW,CCW,"Based on the provided image, the Gabor patch appears to be tilted slightly counterclockwise relative to vertical. Therefore, the response is:

CCW",1,
200,0.0,very_high,5.0,5.0,-1,CW,CCW,"Given the orientation of the Gabor patch in the image, the tilt appears to be slightly counterclockwise relative to vertical.

CCW",0,
201,0.0,very_high,-2.0,2.0,-1,CCW,CW,"Given the characteristics of the Gabor patch in the image, the orientation of the lines appears to be slightly tilted to the right of vertical. Therefore, the patch is tilted **clockwise** relative to vertical.

**CW**",0,
202,25.0,low_mid,-1.0,1.0,-1,CCW,CCW,"Based on the image provided, the Gabor patch appears to be tilted slightly counterclockwise relative to vertical.

CCW",1,
203,25.0,low,7.0,7.0,1,CW,CCW,CCW,0,
